_unit_id,_golden,_unit_state,_trusted_judgments,_last_judgment_at,source,type_of_advice_or_caution,type_of_advice_or_caution:confidence,what,when,where,category,id,retweetcount,screenname,source_gold,text,type_of_advice_or_caution_gold,userid,what_gold,when_gold,where_gold
191783071,true,golden,4,8/19/2012 08:47:19,"
#OHWX
N/A
OHWX",A tornado sighting/touchdown has been reported,1.0,"Possible #tornado on the ground
tornado on the ground
tornado on the ground
tornado on the ground SEEK SHELTER","
n/a
N/A
","Ohio City, #Ohio
Ohio City, #Ohio
Ohio City
near Ohio City",Caution and advice,72796900000000000,2,weathertrek,,"Possible #tornado on the ground near Ohio City, #Ohio. Cell has very strong low level rotation! ** SEEK SHELTER ** #OHWX Follow 4 updates.",,152345486,SEEK SHELTER,,near Ohio City
191783072,false,finalized,3,8/18/2012 21:31:46,"

",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"Tornado warning
Tornado warning
Tornado warning","

","N/A
n/a
FML",Caution and advice,74956400000000000,0,andr3scamilo,,Tornado warning. #FML,,103654597,,,
191783073,false,finalized,5,8/19/2012 07:44:54,"

@BeccasOnTweeter

",Other,0.548,"tornado watching
tornado watching
Girl, you are tornado watching too much! If you need to, get to safety, OK!!
tornado watching
tornado watching","



","N/A
N/A
N/A
N/A
N/A",Caution and advice,76076600000000000,0,KimberlyIsHere,,"@BeccasOnTweeter Girl, you are tornado watching too much! If you need to, get to safety, OK!!",,75674300,,,
191783074,false,finalized,3,8/19/2012 17:44:40,"

",Other,1.0,"it's a tornado
it's a tornado
tornado","

","N/A
N/A
N/A",Caution and advice,74962700000000000,0,FaitesAvecAmo,,bitch it's a tornado.. ain't shit to be scared of! you betta get your bitch ass in the position they taught you in elementary!,,140584262,,,
191783075,false,finalized,3,8/19/2012 10:04:04,"http://bit.ly/kUDYU2

http://bit.ly/kUDYU2",A tornado/thunderstorm warning has been issued or has been lifted,0.3439,"Tornado forming
Tornado forming
Tornado forming","

","N/A
N/A
N/A",Caution and advice,76092500000000000,0,dunkman,,"Tornado forming over river, awesome.  http://bit.ly/kUDYU2",,14594441,,,
191783076,false,finalized,3,8/19/2012 15:52:32,"
N/A
n/a",A siren has been heard,1.0,"tornado siren
tornado
tornado siren","
N/A
n/a","N/A
N/A
n/a",Caution and advice,73932100000000000,0,TheTreacher,,I'm pretty sure that's the tornado siren.,,53548370,,,
191783077,true,golden,4,8/19/2012 08:53:21,"

@andybaldwin
",A tornado sighting/touchdown has been reported,0.7491,"tornado on the ground
Confirmed tornado on the ground
tornado
tornado on the ground","

n/a
","Dallas near Love Field
Dallas near Love Field
in Dallas near Love Field
Dallas near Love Field",Caution and advice,73209500000000000,0,AHizz,," @andybaldwin: Confirmed tornado on the ground in Dallas near Love Field. ""Softball-sized hail."" via @baxterholmes",,21337398,Confirmed tornado on the ground,,in Dallas near Love Field
191783078,false,finalized,3,8/17/2012 22:38:18,"
N/A
my Tv",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"Tornado Warning Shit just came on my Tv
Tornado Warning Shit
Tornado Warning","
just came on
just came on","N/A
N/A
N/A",Caution and advice,73203300000000000,1,ConleyUGK,,That Tornado Warning Shit just came on my Tv..,,153655583,,,
191783079,true,golden,16,8/18/2012 05:56:56,"@Lil_Wyte_
@Lil_Wyte_

@Lil_Wyte_


@Lil_Wyte_
@Lil_Wyte_
@Lil_Wyte_ Man
Lil_Wyte_ Man I swear
@Lil_Wyte_ Man
n/a

@Lil_Wyte

N/A",A tornado/thunderstorm warning has been issued or has been lifted,0.7108,"tornado warnings
tornado warnings
tornado warnings
tornado warnings
tornado warnings
tornado warnings
tornado
tornado warnings
tornado warnings
tornado warnings
tornado warnings
tornado warnings
tornado warning
tornado warnings
tornado warnings
tornado warnings","2011
2011

2011



2011

2011
2011
n/a

n/a

N/A","Mtown
all over the Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
Mtown
n/a
Mtown
Mtown
Mtown
Mtown",Caution and advice,73822700000000000,0,_Megan_Renae_,,@Lil_Wyte_ Man I swear #MotherNature has been pissed of in 2011. We got tornado warnings all over the Mtown&lt;&lt;she needs to get laid. haha,A tornado/thunderstorm warning has been issued or has been lifted,49187479,"tornado warnings
warnings
tornado warnings
We got tornado warnings
tornado",,"all over the Mtown
Mtown
Mtown
all over the Mtown"
191783080,true,golden,65,8/19/2012 16:30:39,"Murfreesboro PD
Murfreesboro PD


Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD

Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD

Murfreesboro PD
N/A
Murfreesboro PD


Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
N/A

Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD confirming
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD


Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
N/A
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD

Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD
Murfreesboro PD",A tornado sighting/touchdown has been reported,1.0,"tornado touchdown
tornado touchdown
Murfreesboro PD confirming a tornado touchdown
tornado touchdown
Murfreesboro PD confirming a tornado touchdown
tornado touchdown
tornado touchdown, The storm is really cranking up
confirming a tornado touchdown
tornado touchdown
The storm is really cranking up here
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
a tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
a tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
Tornado
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
Murfreesboro PD confirming a tornado touchdown
tornado touchdown
tornado
confirming a tornado touchdown
tornado touchdown
tornado touchdown
confirming a tornado touchdown.
Murfreesboro PD confirming a tornado touchdown in Rutherford county
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
ornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
tornado touchdown
a tornado touchdown
tornado touchdown
tornado touchdown
confirming a tornado touchdown
tornado touchdown
tornado touchdown","






n/a

now






now





N/A
n/a





N/A


N/A

N/A

N/A







N/A


N/A
N/A

n/a













","Rutherford county
Rutherford county
Rutherford county
Rutherford
Rutherford county
Rutherford county
Rutherford county, Lascassas Pike area
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford County
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county
Rutherford county
Murfreesboro
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county Murfreesboro Lascassas Pike
in Rutherford county and Lascassas Pike area
Rutherford county
Rutherford county
Lascassas Pike
Rutherford
Rutherford county
Rutherford county
Lascassas Pike area
Rutherford county
Rutherford county
Rutherford county
tornado touchdown
Rutherford county Lascassas Pike area
Rutherford county
in Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county
Rutherford county",Caution and advice,73623000000000000,0,jasonrosborn,"Murfreesboro PD
Murfreesboro",Murfreesboro PD confirming a tornado touchdown in Rutherford county. The storm is really cranking up here in the Lascassas Pike area....,A tornado sighting/touchdown has been reported,14702144,"tornado touchdown
a tornado touchdown",,"Rutherford county
Rutherford
Lascassas Pike area
Lascassas Pike"
191783081,false,finalized,4,8/19/2012 18:21:44,"
N/A

",Other,0.5377,"Tornado alarms blasting
Tornado alarms
Tornado alarms blasting
Tornado","
N/A

","in the city
the city
N/A
N/A",Caution and advice,73581600000000000,0,True_Cdesigns,,"Tornado alarms blasting in the city, and all I'm thinking is Yippeee! I still have internet connection",,248671344,,,
191783082,true,golden,59,8/19/2012 17:52:02,"JimCantore


@JimCantore

@JimCantore
@JimCantore
Jim Cantore

@JimCantore
JimCantore
@JimCantore



#txwx

@JimCantore

@JimCantore DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE #TORNADO ON GROUND #txwx
@JimCantore
JimCantore
N/A
JimCantore

JimCantore
JimCantore
N/A

@JimCantore
@JimCantore
Take cover Dallas! @JimCantore
@JimCantore





@JimCantore
n/a
#txwx

#txwx
JimCantore

@JimCantore
N/A

#txwx

Jim Cantore

@JimCantore

@JimCantore txwx
#txwx
@JimCantore

",A tornado sighting/touchdown has been reported,0.8502,"TORNADO ON GROUND
LARGE #TORNADO ON GROUND
Take cover Dallas!
LARGE #TORNADO ON GROUND
Take cover
TORNADO ON GROUND
TORNADO
tornado on ground
tornado
tornado
TORNADO ON GROUND
REPOS OF LARGE #TORNADO
TORNADO ON GROUND
TORNADO ON GROUND
TORNADO ON GROUND
TORNADO
Tornado on ground
TORNADO ON GROUND
TORNADO ON GROUND
TX REPOS OF LARGE #TORNADO ON GROUND #txwx
REPOS OF LARGE #TORNADO ON GROUND
TORNADO ON GROUND
LARGE #TORNADO ON GROUND
Tornado
#TORNADO ON GROUND
TORNADO ON GROUND
TORNADO
TORNADO ON GROUND
TORNADO ON GROUND
REPOS OF LARGE #TORNADO ON GROUND
TORNADO Take cover
TORNADO
Take cover Dallas!
TORNADO ON GROUND
TORNADO
REPOS OF LARGE #TORNADO
TORNADO ON GROUND
TORNADO ON GROUND
Tornado
TORNADO ON GROUND
TORNADO ON GROUND
TORNADO ON GROUND
DAMAGE
LARGE #TORNADO ON GROUND
TORNADO ON GROUND
REPOS OF LARGE #TORNADO ON GROUND
TORNADO ON GROUND
TORNADO ON GROUND
TORNADO ON GROUND
LARGE #TORNADO ON GROUND
tornado on ground
TORNADO ON GROUND
TORNADO ON GROUND
TORNADO ON GROUND
REPOS OF LARGE #TORNADO ON GROUND
REPOS OF LARGE #TORNADO ON GROUND
TORNADO ON GROUND
TORNADO
TORNADO ON GROUND","









N/A






n/a


n/a

N/A


N/A

N/A



na


Dallas



Now
n/a
N/A

n/a



N/A











","DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
DALLAS COUNTY
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas, EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
Dallas
Dallas County
Eagle Ford, TX
DALLAS COUNTY NEAR EAGLE FORD
NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
Dallas County TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas, EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
N DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas COUNTY
DALLAS COUNTY NEAR EAGLE FORD
DALLAS COUNTY
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
Dallas county near eagle ford, tx
Dallas
DALLAS COUNTY NEAR EAGLE FORD, TX
EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD, TX
Dallas
DALLAS COUNTY
DALLAS COUNTY NEAR EAGLE FORD, TX",Caution and advice,73205200000000000,0,wdglover,,"Take cover Dallas!  @JimCantore DAMAGE IN DALLAS COUNTY NEAR EAGLE FORD, TX REPOS OF LARGE #TORNADO ON GROUND #txwx","A tornado sighting/touchdown has been reported
Other",15188087,"LARGE #TORNADO ON GROUND
LARGE #TORNADO
#TORNADO
TORNADO
DAMAGE
TORNADO ON GROUND
TORNADO",,"DALLAS COUNTY NEAR EAGLE FORD
Dallas
DALLAS COUNTY
DALLAS COUNTY NEAR EAGLE FORD, TX
DALLAS COUNTY NEAR EAGLE FORD
DALLAS COUNTY
N/A"
191783083,true,golden,56,8/19/2012 16:30:39,"

n/a


n/a






No Source




N/A

n/a
N/A


N/A

N/A


n/a



N/A


N/A
N/A
N/A
N/A

n/a




N/A









",A tornado sighting/touchdown has been reported,0.9531,"Tornado on ground
Tornado on ground in Southern Dallas
Tornado on ground
Tornado on ground
Tornado
Tornado on ground
tornado on ground
Tornado
tornado
Tornado
Tornado
Tornado
Tornado
Tornado on ground
Tornado
Tornado
tornado on ground
Tornado on ground
Tornado
Tornado on ground
Tornado on ground
Tornado
Tornado on ground
Tornado on ground
Tornado
Tornado on ground
Tornado on ground
Tornado on ground
Tornado
Tornado on ground
Tornado
Tornado on ground
Tornado
Tornado on ground
Tornado on ground
Tornado on ground
Tornado on ground
Tornado
Tornado on ground
Tornado on ground
Tornado on ground
Tornado on ground
Tornado
Tornado
Tornado on ground
Tornadoon ground
Tornado on ground
Tornado on ground
Tornado on ground
Tornado on groung
Tornado on ground
Tornado on ground
Tornado on ground
Tornado
Tornado
Tornado on ground","

n/a


n/a






Don't say




N/A

n/a
N/A


N/A

N/A


n/a



N/A


N/A
N/A
Now
N/A

n/a




N/A









","Southern Dallas County
Southern Dallas
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
southern dallas county
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County.
Southern Dallas County
Southern Dallas County TX
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County.
Southern Dallas County
in Southern Dallas County
Southern Dallas County.
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dallas County
in Southern Dallas County
Southern Dallas County
Southern Dallas County
Southern Dall
Southern Dallas County",Caution and advice,73221500000000000,0,wendylefty,,Tornado on ground in Southern Dallas County.,A tornado sighting/touchdown has been reported,17252004,"Tornado on ground
Tornado
Tornado on ground
Tornado
tornado on ground",,"Southern Dallas County
Dallas County
Southern Dallas County.
Southern Dallas County
Southern Dallas"
191783084,false,golden,13,8/17/2012 01:16:07,"


n/a
N/A
N/A

n/a

n/a
#tornado

",Other,0.5284,"Emergency crews flying down
tornado
tornado
Emergency crews
second #tornado
tornado
tornado
tornado
flying down highway #tornado.
Emergency crews flying down highway
Emergency crews
tornado
Emergency crews","


n/a
N/A
N/A

n/a

n/a
n/a

","Springfield
Springfield
Springfield
Springfield
Springfield
Springfield
Springfield
Springfield
Springfield
Springfield
down highway toward Springfield
Springfield
Springfield",Caution and advice,76073700000000000,0,slashway,,Emergency crews flying down highway toward Springfield at an alarming rate. Wish I stayed for the second #tornado.,"A siren has been heard
Other",30576148,"Emergency crews flying down highway
Emergency crews",,"Springfield
toward Springfield"
191783085,false,golden,11,8/17/2012 01:25:36,"
n/a



n/a


n/a
n/a
",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"tornado warning
tornado warning
tornado warning
tornado warning
tornado warning
tornado warning
tornado warning
tornado
tornado warning
tornado warning
tornado warning","
n/a



n/a


n/a
n/a
","outside
outside
N/A
N/A
N/A
n/a
N/A
N/A
n/a
outside
n/a",Caution and advice,73884400000000000,0,CreoleDollFACE,,Lol so there is a tornado warning outside n im at work -_-,A tornado/thunderstorm warning is in effect,42723418,"tornado warning
tornado warning outside",,"outside
at work"
191783086,false,finalized,4,8/16/2012 16:52:17,"

N/A
",A tornado sighting/touchdown has been reported,0.7789,"Tornado
Tornado
Tornado heading up
Tornado","

N/A
","Nall into Leawood
Nall into Leawood
Nall into Leawood
Nall into Leawood",Caution and advice,73423900000000000,0,MichaelaBondon,,Tornado heading up Nall into Leawood. This is far too close for comfort. YIKES! I'm seriously scared! #kcstorms #tornado #FB #praying,,11353052,,,
191783087,false,finalized,4,8/19/2012 18:21:44,"@TheeSBM: @Lil_Woadie

@TheeSBM
",Other,0.5234,"tornado
It was a tornado
tornado in GB but it's gone now
tornado","


","N/A
GB
GB
GB",Caution and advice,74961000000000000,0,Lil_Woadie,,It was a tornado in GB but it's gone now  @TheeSBM: @Lil_Woadie wht tornado,,284867786,,,
191783088,true,golden,4,8/18/2012 20:01:59,"
Wther svc
N/A
n/a",A tornado/thunderstorm warning has been issued or has been lifted,0.758,"Tornado watch upgraded to warning
Tornado watch upgraded to warning
Tornado watch
Tornado watch upgraded to warning","

N/A
n/a","ctrl Oxfd Cty
ctrl Oxfd Cty 11 miles west of Bethel
Oxfd Cty
ctrl Oxfd Cty.;11 miles west of Bethel",Caution and advice,76004900000000000,0,josie__huang,Wther svc,"Tornado watch upgraded to warning in ctrl Oxfd Cty. Wther svc: ""Severe thunderstorm capable of producing a tornado 11 miles west of Bethel""",A tornado/thunderstorm warning is in effect,38602009,"Tornado watch upgraded to warning
Tornado watch
warning
Severe thunderstorm",,"ctrl Oxfd Cty.
ctrl Oxfd Cty
Oxfd Cty.
Oxfd Cty
11 miles west of Bethel"
191783089,true,golden,20,8/19/2012 18:08:20,"


N/A
N/A

n/a


n/a

n/a



N/A


n/a
",A siren has been heard,0.951,"tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren
tornado warning
tornado warning siren
a tornado warning siren
tornado warning siren
tornado warning siren
tornado warning siren","


N/A
N/A

n/a


n/a

n/a


shit thats a tornado warning siren
N/A


n/a
","N/A
n/a
N/A
N/A
N/A
N/A
n/a
N/A
N/A
n/a
""N/A""
n/a
n/a
n/a
N/A
N/A
N/A
N/A
n/a
N/A",Caution and advice,74946200000000000,0,seriousstarss,"N/A
n/a",Is that the ice cream truck? No wait shit thats a tornado warning siren,A siren has been heard,145416157,"tornado warning siren
warning siren
tornado
a tornado warning siren
a tornado warning","N/A
n/a","N/A
n/a
""N/A"""
191783090,false,finalized,3,8/18/2012 15:50:57,"

",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"tornado warning
tornado warning
tornado warning","

","N/A
my area
N/A",Caution and advice,74953200000000000,0,ericasimpsonize,,There's a tornado warning around my area. :$,,241716004,,,
191783091,false,finalized,3,8/18/2012 21:35:19,"

",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"tornado Warning is lifted
#tornado Warning is lifted
tornado Warning","

","Kansas City
Kansas City
Kansas City",Caution and advice,73442900000000000,4,BOS_KLB,," @wharman: Jeez, Kansas City. You didn't have to organize such a dramatic welcome. #tornado Warning is lifted. We're going to have lun ...",,179985977,,,
191783092,true,golden,1,8/18/2012 20:08:54,n/a,Other,1.0,Tornado warning?,n/a,n/a,Caution and advice,74953000000000000,0,Miss_Lolo17,,Tornado warning?,"A tornado/thunderstorm warning has been issued or has been lifted
Other",163984152,"Tornado warning?
Tornado warning",,N/A
191783093,false,golden,2,8/14/2012 17:27:19,"
",Other,0.5752,"N/A
tornado warnings","
","N/A
N/A",Caution and advice,73174500000000000,0,mpf2011,,"If ing #tornado warnings, note the time of the original tweet or information. Don't tweet old information--not helpful.",Other,78649756,Don't tweet old information,,N/A
191783094,false,finalized,3,8/16/2012 05:51:38,"
BurnhamSWAT
@BurnhamSWAT",A tornado/thunderstorm warning has been issued or has been lifted,1.0,"tornado warning
tornado warning
tornado warning","
N/A
","N/A
N/A
N/A",Caution and advice,73550400000000000,0,alexajoyful,,@BurnhamSWAT wow!! i was just in a tornado warning but it wasn't that bad! i hope it blows over fast!,,162749688,,,
191783095,false,finalized,3,8/17/2012 01:22:32,"@CarolineManzo
@CarolineManzo
",Other,0.7083,"tornado is coming
it looks like a tornado is coming
tornado is coming","

","n/a
N/A
n/a",Caution and advice,78965400000000000,0,dutty18,,@CarolineManzo yes they are it looks like a tornado is coming,,38592225,,,
